+--------------------------------------------------------------+
| Line | test.php                                              |
+--------------------------------------------------------------+
| 12   | Function wp_enqueue_script not found.                 |
| 15   | Function _x not found.                                |
| 17   | Function get_bloginfo not found.                      |
| 19   | Function wp_enqueue_style not found.                  |
| 21   | Constant ABSPATH not found.                           |
| 24   | Function __ not found.                                |
| 26   | Function __ not found.                                |
| 28   | Function __ not found.                                |
| 31   | Function _e not found.                                |
| 32   | Function _e not found.                                |
| 33   | Function _e not found.                                |
| 34   | Function _e not found.                                |
| 38   | Function _e not found.                                |
| 43   | Function _n not found.                                |
| 49   | Function number_format_i18n not found.                |
| 55   | Function __ not found.                                |
| 58   | Function esc_url not found.                           |
| 58   | Function __ not found.                                |
| 59   | Function sanitize_title not found.                    |
| 66   | Function _e not found.                                |
| 73   | Function _e not found.                                |
| 79   | Function _e not found.                                |
| 83   | Function __ not found.                                |
| 85   | Function _e not found.                                |
| 88   | Function wp_check_php_version not found.              |
| 89   | Function current_user_can not found.                  |
| 91   | Function _e not found.                                |
| 94   | Function esc_url not found.                           |
| 94   | Function wp_get_update_php_url not found.             |
| 94   | Function _e not found.                                |
| 100  | Function _e not found.                                |
| 104  | Function _e not found.                                |
| 105  | Function current_user_can not found.                  |
| 106  | Function esc_url not found.                           |
| 106  | Function admin_url not found.                         |
| 106  | Function _e not found.                                |
| 113  | Function _e not found.                                |
| 117  | Function _e not found.                                |
| 119  | Function _e not found.                                |
| 121  | Function __ not found.                                |
| 125  | Function _e not found.                                |
| 127  | Function _e not found.                                |
| 129  | Function __ not found.                                |
| 133  | Function _e not found.                                |
| 135  | Function _e not found.                                |
| 137  | Function __ not found.                                |
| 144  | Function _e not found.                                |
| 146  | Function _e not found.                                |
| 148  | Function __ not found.                                |
| 151  | Function esc_url not found.                           |
| 151  | Function _e not found.                                |
| 163  | Constant WP_PLUGIN_DIR not found.                     |
| 164  | Function _e not found.                                |
| 168  | Function _e not found.                                |
| 169  | Function _e not found.                                |
| 170  | Function _e not found.                                |
| 171  | Function current_user_can not found.                  |
| 173  | Function esc_url not found.                           |
| 173  | Function wp_nonce_url not found.                      |
| 173  | Function self_admin_url not found.                    |
| 173  | Function get_current_user_id not found.               |
| 173  | Function _e not found.                                |
| 183  | Function current_user_can not found.                  |
| 184  | Function esc_url not found.                           |
| 184  | Function self_admin_url not found.                    |
| 185  | Function is_multisite not found.                      |
| 185  | Function _e not found.                                |
| 185  | Function _e not found.                                |
| 188  | Function esc_url not found.                           |
| 188  | Function self_admin_url not found.                    |
| 188  | Function is_blog_admin not found.                     |
| 188  | Function _e not found.                                |
| 188  | Function _e not found.                                |
| 193  | Constant ABSPATH not found.                           |
| 198  | Unreachable statement - code above always terminates. |
| 198  | Function __ not found.                                |
| 199  | Function __ not found.                                |
| 201  | Function __ not found.                                |
| 202  | Function __ not found.                                |
| 204  | Function __ not found.                                |
| 205  | Function __ not found.                                |
| 208  | Function __ not found.                                |
| 210  | Function __ not found.                                |
| 213  | Function _n_noop not found.                           |
| 219  | Function _n_noop not found.                           |
| 225  | Function _n_noop not found.                           |
| 231  | Function __ not found.                                |
+--------------------------------------------------------------+

 [ERROR] Found 87 errors 
